sampling_date,state,location,type,Sulfur Dioxide(So2),Nitrogen Dioxide (No2),Respirable Suspended Particulate Matter ,Suspended Particulate Matter,PM_2.5,date,si,ni,rpi,spi,pmi,AQI
February - M021990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",4.8,17.4,78.18282385,200.2603783,15.2,01-02-1990,6.0,21.749999999999996,97.7285298125,166.8402522,15.2,166.8402522
February - M021990,Andhra Pradesh,Hyderabad,Industrial Area,3.1,7.0,78.18282385,200.2603783,20.5,01-02-1990,3.875,8.75,97.7285298125,166.8402522,20.5,166.8402522
February - M021990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.2,28.5,78.18282385,200.2603783,18.7,01-02-1990,7.75,35.625,97.7285298125,166.8402522,18.7,166.8402522
March - M031990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.3,14.7,78.18282385,200.2603783,14.0,01-03-1990,7.875,18.375,97.7285298125,166.8402522,14.0,166.8402522
March - M031990,Andhra Pradesh,Hyderabad,Industrial Area,4.7,7.5,78.18282385,200.2603783,22.3,01-03-1990,5.875,9.375,97.7285298125,166.8402522,22.3,166.8402522
March - M031990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.4,25.7,78.18282385,200.2603783,17.8,01-03-1990,8.0,32.125,97.7285298125,166.8402522,17.8,166.8402522
April - M041990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",5.4,17.1,78.18282385,200.2603783,16.5,01-04-1990,6.75,21.375000000000004,97.7285298125,166.8402522,16.5,166.8402522
April - M041990,Andhra Pradesh,Hyderabad,Industrial Area,4.7,8.7,78.18282385,200.2603783,19.2,01-04-1990,5.875,10.874999999999998,97.7285298125,166.8402522,19.2,166.8402522
April - M041990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",4.2,23.0,78.18282385,200.2603783,21.0,01-04-1990,5.25,28.75,97.7285298125,166.8402522,21.0,166.8402522
May - M051990,Andhra Pradesh,Hyderabad,Industrial Area,4.0,8.9,78.18282385,200.2603783,19.91388889,01-05-1990,5.0,11.125,97.7285298125,166.8402522,19.91388889,166.8402522
May - M051990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.6,18.6,78.18282385,200.2603783,20.22555556,01-05-1990,4.5,23.250000000000004,97.7285298125,166.8402522,20.22555556,166.8402522
June - M061990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.9,14.1,78.18282385,133.0,20.53722222,01-06-1990,4.875,17.625,97.7285298125,122.0,20.53722222,122.0
June - M061990,Andhra Pradesh,Hyderabad,Industrial Area,5.6,11.8,78.18282385,82.0,20.84888889,01-06-1990,7.0,14.75,97.7285298125,82.0,20.84888889,97.7285298125
June - M061990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.3,19.3,78.18282385,111.0,21.16055556,01-06-1990,4.125,24.125,97.7285298125,107.33333333333333,21.16055556,107.33333333333333
July - M071990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.9,8.2,78.18282385,118.0,21.47222222,01-07-1990,4.875,10.249999999999998,97.7285298125,112.0,21.47222222,112.0
July - M071990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.5,12.1,78.18282385,135.0,21.78388889,01-07-1990,4.375,15.125,97.7285298125,123.33333333333333,21.78388889,123.33333333333333
July - M071990,Andhra Pradesh,Hyderabad,Industrial Area,7.9,10.2,78.18282385,80.0,22.09555556,01-07-1990,9.875,12.749999999999998,97.7285298125,80.0,22.09555556,97.7285298125
August - M081990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",4.0,9.9,78.18282385,179.0,22.40722222,01-08-1990,5.0,12.375,97.7285298125,152.66666666666666,22.40722222,152.66666666666666
August - M081990,Andhra Pradesh,Hyderabad,Industrial Area,12.4,11.5,78.18282385,58.0,22.71888889,01-08-1990,15.5,14.375,97.7285298125,58.0,22.71888889,97.7285298125
August - M081990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",4.0,12.3,78.18282385,99.0,23.03055556,01-08-1990,5.0,15.375,97.7285298125,99.0,23.03055556,99.0
September - M091990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.3,11.5,78.18282385,270.0,23.34222222,01-09-1990,7.875,14.375,97.7285298125,220.0,23.34222222,220.0
September - M091990,Andhra Pradesh,Hyderabad,Industrial Area,44.8,13.7,78.18282385,97.0,23.65388889,01-09-1990,56.0,17.125,97.7285298125,97.0,23.65388889,97.7285298125
September - M091990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.1,17.8,78.18282385,167.0,23.96555556,01-09-1990,10.125,22.25,97.7285298125,144.66666666666666,23.96555556,144.66666666666666
October - M101990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.7,11.3,78.18282385,145.0,24.27722222,01-10-1990,9.625,14.125,97.7285298125,130.0,24.27722222,130.0
October - M101990,Andhra Pradesh,Hyderabad,Industrial Area,20.6,13.6,78.18282385,75.0,24.58888889,01-10-1990,25.75,17.0,97.7285298125,75.0,24.58888889,97.7285298125
October - M101990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",20.4,27.5,78.18282385,212.0,24.90055556,01-10-1990,25.5,34.375,97.7285298125,174.66666666666666,24.90055556,174.66666666666666
November - M111990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13.9,7.2,78.18282385,93.0,25.21222222,01-11-1990,17.375,9.0,97.7285298125,93.0,25.21222222,97.7285298125
November - M111990,Andhra Pradesh,Hyderabad,Industrial Area,11.2,18.6,78.18282385,61.0,25.52388889,01-11-1990,14.0,23.250000000000004,97.7285298125,61.0,25.52388889,97.7285298125
November - M111990,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",22.3,35.9,78.18282385,255.0,25.83555556,01-11-1990,27.875,44.875,97.7285298125,205.0,25.83555556,205.0
January - M011991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",24.5,28.0,78.18282385,197.0,26.14722222,01-01-1991,30.625,35.0,97.7285298125,164.66666666666666,26.14722222,164.66666666666666
January - M011991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.2,10.4,78.18282385,148.0,26.45888889,01-01-1991,9.0,13.0,97.7285298125,132.0,26.45888889,132.0
January - M011991,Andhra Pradesh,Hyderabad,Industrial Area,28.7,16.2,78.18282385,77.0,26.77055556,01-01-1991,35.875,20.25,97.7285298125,77.0,26.77055556,97.7285298125
February - M021991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",18.7,42.2,78.18282385,125.0,27.08222222,01-02-1991,23.375,52.75,97.7285298125,116.66666666666666,27.08222222,116.66666666666666
February - M021991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",24.5,18.0,78.18282385,330.0,27.39388889,01-02-1991,30.625,22.5,97.7285298125,280.0,27.39388889,280.0
February - M021991,Andhra Pradesh,Hyderabad,Industrial Area,20.4,12.6,78.18282385,93.0,27.70555556,01-02-1991,25.5,15.75,97.7285298125,93.0,27.70555556,97.7285298125
March - M031991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",5.2,41.3,78.18282385,287.0,28.01722222,01-03-1991,6.5,51.625,97.7285298125,237.0,28.01722222,237.0
March - M031991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.5,12.2,78.18282385,241.0,28.32888889,01-03-1991,9.375,15.25,97.7285298125,194.0,28.32888889,194.0
March - M031991,Andhra Pradesh,Hyderabad,Industrial Area,4.8,8.4,78.18282385,85.0,28.64055556,01-03-1991,6.0,10.5,97.7285298125,85.0,28.64055556,97.7285298125
