state,date,si,ni,rpi,spi,pmi,AQI
Andhra Pradesh,1990-02-01,6.0,21.75,97.7285298125,166.8402522,15.2,166.8402522
Andhra Pradesh,1990-02-01,3.875,8.75,97.7285298125,166.8402522,20.5,166.8402522
Andhra Pradesh,1990-02-01,7.75,35.625,97.7285298125,166.8402522,18.7,166.8402522
Andhra Pradesh,1990-03-01,7.875,18.375,97.7285298125,166.8402522,14.0,166.8402522
Andhra Pradesh,1990-03-01,5.875,9.375,97.7285298125,166.8402522,22.3,166.8402522
Andhra Pradesh,1990-03-01,8.0,32.125,97.7285298125,166.8402522,17.8,166.8402522
Andhra Pradesh,1990-04-01,6.75,21.375000000000004,97.7285298125,166.8402522,16.5,166.8402522
Andhra Pradesh,1990-04-01,5.875,10.874999999999998,97.7285298125,166.8402522,19.2,166.8402522
Andhra Pradesh,1990-04-01,5.25,28.75,97.7285298125,166.8402522,21.0,166.8402522
Andhra Pradesh,1990-05-01,5.0,11.125,97.7285298125,166.8402522,19.91388889,166.8402522
Andhra Pradesh,1990-05-01,4.5,23.250000000000004,97.7285298125,166.8402522,20.22555556,166.8402522
Andhra Pradesh,1990-06-01,4.875,17.625,97.7285298125,122.0,20.53722222,122.0
Andhra Pradesh,1990-06-01,7.0,14.75,97.7285298125,82.0,20.84888889,97.7285298125
Andhra Pradesh,1990-06-01,4.125,24.125,97.7285298125,107.33333333333331,21.16055556,107.33333333333331
Andhra Pradesh,1990-07-01,4.875,10.249999999999998,97.7285298125,112.0,21.47222222,112.0
Andhra Pradesh,1990-07-01,4.375,15.125,97.7285298125,123.33333333333331,21.78388889,123.33333333333331
Andhra Pradesh,1990-07-01,9.875,12.749999999999998,97.7285298125,80.0,22.09555556,97.7285298125
Andhra Pradesh,1990-08-01,5.0,12.375,97.7285298125,152.66666666666666,22.40722222,152.66666666666666
Andhra Pradesh,1990-08-01,15.5,14.375,97.7285298125,58.0,22.71888889,97.7285298125
Andhra Pradesh,1990-08-01,5.0,15.375,97.7285298125,99.0,23.03055556,99.0
Andhra Pradesh,1990-09-01,7.875,14.375,97.7285298125,220.0,23.34222222,220.0
Andhra Pradesh,1990-09-01,56.0,17.125,97.7285298125,97.0,23.65388889,97.7285298125
Andhra Pradesh,1990-09-01,10.125,22.25,97.7285298125,144.66666666666666,23.96555556,144.66666666666666
Andhra Pradesh,1990-10-01,9.625,14.125,97.7285298125,130.0,24.27722222,130.0
Andhra Pradesh,1990-10-01,25.75,17.0,97.7285298125,75.0,24.58888889,97.7285298125
Andhra Pradesh,1990-10-01,25.5,34.375,97.7285298125,174.66666666666666,24.90055556,174.66666666666666
Andhra Pradesh,1990-11-01,17.375,9.0,97.7285298125,93.0,25.21222222,97.7285298125
Andhra Pradesh,1990-11-01,14.0,23.250000000000004,97.7285298125,61.0,25.52388889,97.7285298125
Andhra Pradesh,1990-11-01,27.875,44.875,97.7285298125,205.0,25.83555556,205.0
